species,p_value,mean_control,mean_diseased
Veillonella_rodentium,1.0,2.1499988767070712e-06,2.1400012821597267e-06
Microbacterium_aurum,,0.0,1.5600010310826822e-06
Salinicoccus_albus,,0.0,0.0
Rothia_aeria,0.47267559351158717,0.011410791827627994,0.02042768805721116
Capnocytophaga_haemolytica,0.3529711643543677,2.9460820286018082e-05,0.0001194470856902686
Thermomonas_brevis,,0.0,1.5600010310826822e-06
Peptostreptococcus_anaerobius,,0.0,0.0
Acinetobacter_gerneri,,0.0,0.0
Escherichia.Shigella_coli,0.5036312588983317,3.0528816631441414e-05,3.4599959987346838e-06
Selenomonas_flueggei,0.9077677647776123,9.623737916466617e-05,0.00012017041679102491
Treponema_bryantii,,8.689997044618228e-06,0.0
Lactuca_sativa,,0.0,6.287934713802566e-05
Rothia_nasimurium,,0.0,0.0
Desulfobulbus_rhabdoformis,0.2302122470181358,6.030464500142491e-05,3.773185335748786e-05
Cloacibacillus_evryensis,,0.0,0.0
Bacillus_circulans,,0.0,0.0
Treponema_vincentii,0.24114462621608423,0.0006007356536502073,0.0005462457527751674
Alloprevotella_tannerae,0.3447042220069576,0.009040606576740147,0.006991609076929179
Porphyromonas_gingivalis,0.5707503880581739,0.016669447529047535,0.009274410365891968
Streptococcus_intermedius,,0.0,1.7299979993673419e-06
Aquicella_siphonis,,0.0,0.0
Rhodococcus_erythropolis,,0.0,0.0
Treponema_porcinum,,8.380005477841983e-06,0.0
Desulfobulbus_elongatus,,0.0,0.0
Enterobacter_ludwigii,,0.0,0.0
Actinomyces_oris,0.3935421945288845,1.3630000648251153e-05,2.3410004145329833e-05
Prevotella_melaninogenica,0.3074894566186813,0.05202857326590743,0.07222154623134516
Proteiniphilum_acetatigenes,,0.0,0.0
Arsenicicoccus_piscis,,0.0,0.0
Pseudoxanthomonas_mexicana,,0.0,3.1200020621653644e-06
Lactococcus_plantarum,,0.0,0.0
Mycoplasma_salivarium,0.3529711643543677,2.0029998589488396e-05,5.3251634849413486e-05
