species,p_value,mean_control,mean_diseased,direction,q_value,log2FC
Vibrio_alginolyticus,,0.0,0.0,0,,0.0
Clostridium_saccharolyticum,,0.0,0.0,0,,0.0
Dyadobacter_fermentans,,0.0,3.1200020621653644e-06,1,,2.042645059514076
Selenomonas_bovis,,0.0,0.0,0,,0.0
Prevotella_dentalis,,8.260001106698528e-06,0.0,-1,,-3.2110123659075835
Kingella_potus,0.5701699724963722,0.0004698591051518499,0.0010939893011087558,1,0.9375964805478633,1.2175494407753045
Microlunatus_soli,,0.0,0.0,0,,0.0
Streptococcus_oligofermentans,0.10116105881500473,4.6041740909221957e-05,1.9199997663154847e-06,-1,0.8739754990351924,-4.009901293306276
Leuconostoc_mesenteroides,,0.0,0.0,0,,0.0
Hespellia_porcina,,0.0,0.0,0,,0.0
Microbacterium_lacticum,,0.0,0.0,0,,0.0
Lachnoanaerobaculum_orale,0.6205363102440582,0.0006797568366994493,0.0005367737069494063,-1,0.9408951747733857,-0.3401403459253898
Actinomyces_catuli,,0.0,1.5600010310826822e-06,1,,1.3561443912946398
Sphaerochaeta_globosa,1.0,1.9500021032459446e-06,1.5600010310826822e-06,-1,1.0,-0.2045715917701484
Selenomonas_noxia,0.12122450301291662,0.0014264540796747808,0.0011899544217292084,-1,0.8739754990351924,-0.2613261339368411
Pyramidobacter_piscolens,0.3935421945288845,4.75980814228483e-05,0.00015913062098715647,1,0.9300008847860473,1.7202779489795408
Porphyromonas_catoniae,0.9097218891455553,0.05340942354835865,0.04241467640486857,-1,1.0,-0.3325237561096047
Sphaerochaeta_pleomorpha,,0.0,0.0,0,,0.0
Leptotrichia_buccalis,0.9698499769931556,0.006327935566464082,0.006748537365712555,1,1.0,0.09282573869985926
Bergeriella_denitrificans,0.5036312588983317,4.200000414534911e-06,1.7299979993673419e-06,-1,0.9300008847860473,-0.9296118443718902
Blastocatella_fastidiosa,,0.0,6.2500041309402335e-06,1,,2.8579818171531297
Odoribacter_splanchnicus,,0.0,0.0,0,,0.0
Aggregatibacter_actinomycetemcomitans,0.8711511457711205,2.7115645176021176e-05,0.0008422706860380675,1,1.0,4.906550745809102
Prevotella_veroralis,0.8501067391385259,0.012082013748732075,0.00256747447255391,-1,1.0,-2.233996696682049
Methylobacterium_komagatae,,0.0,0.0,0,,0.0
Chryseobacterium_elymi,,0.0,0.0,0,,0.0
Desulfovibrio_fairfieldensis,0.23113699116473263,2.8025264547312967e-05,7.739998563054137e-06,-1,0.8739754990351924,-1.7316042687781066
Phenylobacterium_koreense,,0.0,0.0,0,,0.0
Prevotella_corporis,,2.690001571082503e-06,0.0,-1,,-1.883621430538369
Chryseobacterium_hagamense,,0.0,0.0,0,,0.0
Bacteroides_heparinolyticus,0.7213634350694587,0.0007177341917488949,0.00019040405146549314,-1,0.9686681716580997,-1.9088369520398416
Neisseria_lactamica,,4.1374741117477596e-05,0.0,-1,,-5.405132649220778
Caulobacter_fusiformis,,0.0,9.370006193105599e-06,1,,3.374344850635422
Staphylococcus_saccharolyticus,,0.0,0.0,0,,0.0
Actinomyces_timonensis,0.33046445910149613,0.00015704407522196444,3.7182264806517525e-05,-1,0.9300008847860473,-2.0493523674943033
Pinus_thunbergii,,0.0,0.0,0,,0.0
Achromobacter_xylosoxidans,0.03173490200213841,1.2789997776603104e-05,7.774247882232145e-05,1,0.8739754990351924,2.5135199051757486
Actinomyces_naeslundii,0.13747199804672977,0.00014982784368137864,0.0003998247902995888,1,0.8739754990351924,1.4100689564750883
Snodgrassella_alvi,,0.0,3.0317343434014996e-05,1,,4.968889932767818
Paludibacter_propionicigenes,0.38701255487244757,7.279995622577608e-06,3.1200020621653644e-06,-1,0.9300008847860473,-1.0069849454946735
Anaeroarcus_burkinensis,,0.0,0.0,0,,0.0
Weissella_paramesenteroides,,0.0,0.0,0,,0.0
Veillonella_criceti,,0.0,0.0,0,,0.0
Bilophila_wadsworthia,,0.0,8.570005134630308e-06,1,,3.2585196987660234
Mitsuokella_multacida,,0.0,5.749999300163562e-06,1,,2.7548873525856004
Fusobacterium_necrophorum,,0.0,0.0,0,,0.0
Deinococcus_xinjiangensis,,0.0,6.2500041309402335e-06,1,,2.8579818171531297
Bacillus_pumilus,0.5842485531772132,2.2499983112889665e-06,5.109998374482491e-06,1,0.9375964805478633,0.9107330277146133
Corynebacterium_argentoratense,0.6704052955096476,7.803516093767116e-05,2.614613390673898e-05,-1,0.9408951747733857,-1.5417478709917587
Porphyromonas_endodontalis,0.025748080821108063,0.011278439436718052,0.0058732311586270364,-1,0.8739754990351924,-0.9412234269377628
Clostridium_hathewayi,,0.0,0.0,0,,0.0
Clostridium_perfringens,,0.0,0.0,0,,0.0
Acidovorax_caeni,,0.0,0.0,0,,0.0
Bulleidia_extructa,0.6064533744042402,0.00010029252026235065,0.00023374055304155057,1,0.9408951747733857,1.2125394536349068
Ancylobacter_abiegnus,,0.0,0.0,0,,0.0
Vogesella_perlucida,,0.0,0.0,0,,0.0
Oxalobacter_formigenes,,0.0,0.0,0,,0.0
Phocaeicola_abscessus,0.4631036183631356,0.00013423648753068155,0.00018341956724634794,1,0.9300008847860473,0.4475072854052732
Hydrotalea_flava,,0.0,0.0,0,,0.0
Actinomyces_hyovaginalis,,0.0,0.0,0,,0.0
Paenibacillus_glycanilyticus,,0.0,0.0,0,,0.0
Desulfobulbus_propionicus,0.6704052955096476,4.200000414534911e-06,4.0399954825202745e-06,-1,0.9408951747733857,-0.045089297662366384
